country,rank_gender_gap_index,rank_women_all_positions,rank_women_senior_positions
Australia,44,13,12
Austria,34,16,10
Belgium,27,9,6
Canada,19,20,9
Chile,57,31,27
China,106,11,20
Colombia,22,27,17
Czechia,78,28,32
Denmark,14,22,13
France,15,14,11
Germany,10,21,23
Greece,84,29,22
Hungary,105,30,31
Ireland,7,7,5
Israel,64,32,28
Italy,76,12,8
Japan,121,33,30
Luxembourg,51,4,25
Netherlands,38,26,26
New Zealand,6,5,16
Norway,2,19,14
Poland,40,3,3
Portugal,35,8,7
Romania,55,2,2
Singapore,54,6,24
South Africa,17,1,1
Spain,8,10,4
Sweden,4,15,15
Switzerland,18,18,19
United Arab Emirates,120,23,29
United Kingdom of Great Britain and Northern Ireland,21,17,18
United States of America,53,25,21
