rank;level;female_ratio;country;state_us;geo_classification_europe_us
1;All Positions;26.269316;United Kingdom of Great Britain and Northern Ireland;;Europe
1;Entry Level;49.090908;United Kingdom of Great Britain and Northern Ireland;;Europe
1;Senior Level;20.967741;United Kingdom of Great Britain and Northern Ireland;;Europe
2;All Positions;29.032259;United States of America;Massachusetts;USA
2;Entry Level;27.777779;United States of America;Massachusetts;USA
2;Senior Level;9.4339619;United States of America;Massachusetts;USA
3;All Positions;24.170616;United States of America;Massachusetts;USA
3;Entry Level;40;United States of America;Massachusetts;USA
3;Senior Level;15.217391;United States of America;Massachusetts;USA
4;All Positions;16;United States of America;California;USA
4;Entry Level;37.5;United States of America;California;USA
4;Senior Level;11.904762;United States of America;California;USA
5;All Positions;34.343433;France;;Europe
5;Senior Level;29.411764;France;;Europe
6;All Positions;14.035088;United States of America;Illinois;USA
6;Entry Level;7.1428571;United States of America;Illinois;USA
6;Senior Level;10;United States of America;Illinois;USA
7;All Positions;32.342659;Italy;;Europe
7;Entry Level;39.830509;Italy;;Europe
7;Senior Level;27.243589;Italy;;Europe
8;All Positions;19.827587;United States of America;Illinois;USA
8;Entry Level;26.4;United States of America;Illinois;USA
8;Senior Level;11.428572;United States of America;Illinois;USA
9;All Positions;23.809525;United States of America;New Jersey;USA
9;Entry Level;36;United States of America;New Jersey;USA
9;Senior Level;16.216217;United States of America;New Jersey;USA
10;All Positions;14.925373;United States of America;California;USA
10;Entry Level;23.076923;United States of America;California;USA
10;Senior Level;15.625;United States of America;California;USA
11;All Positions;26.143791;Spain;;Europe
11;Senior Level;14.814815;Spain;;Europe
12;All Positions;19.827587;United States of America;Rhode Island;USA
12;Entry Level;16.666666;United States of America;Rhode Island;USA
12;Senior Level;20.833334;United States of America;Rhode Island;USA
13;All Positions;24.137932;United Kingdom of Great Britain and Northern Ireland;;Europe
13;Entry Level;27.272728;United Kingdom of Great Britain and Northern Ireland;;Europe
13;Senior Level;18.666666;United Kingdom of Great Britain and Northern Ireland;;Europe
14;All Positions;31.052631;Switzerland;;Europe
14;Entry Level;33.333332;Switzerland;;Europe
14;Senior Level;16.216217;Switzerland;;Europe
15;All Positions;27.848101;France;;Europe
15;Entry Level;34.090908;France;;Europe
15;Senior Level;20.338984;France;;Europe
16;All Positions;29.464285;United Kingdom of Great Britain and Northern Ireland;;Europe
16;Entry Level;50;United Kingdom of Great Britain and Northern Ireland;;Europe
16;Senior Level;18.181818;United Kingdom of Great Britain and Northern Ireland;;Europe
17;All Positions;26.041666;France;;Europe
17;Entry Level;54.545456;France;;Europe
17;Senior Level;10.526316;France;;Europe
18;All Positions;18.965517;United States of America;California;USA
18;Entry Level;45.454544;United States of America;California;USA
18;Senior Level;11.111111;United States of America;California;USA
19;All Positions;21.73913;United States of America;California;USA
19;Entry Level;28.387096;United States of America;California;USA
19;Senior Level;16.363636;United States of America;California;USA
20;All Positions;36.700336;Australia;;
20;Entry Level;44.848484;Australia;;
20;Senior Level;28.971962;Australia;;
21;All Positions;11.538462;United States of America;New York;USA
21;Entry Level;31.25;United States of America;New York;USA
21;Senior Level;8;United States of America;New York;USA
22;All Positions;15.789474;United States of America;New York;USA
22;Entry Level;15.384615;United States of America;New York;USA
22;Senior Level;15.909091;United States of America;New York;USA
23;All Positions;35.294117;United States of America;California;USA
23;Entry Level;33.333332;United States of America;California;USA
23;Senior Level;28;United States of America;California;USA
24;All Positions;22.511848;United States of America;New York;USA
24;Entry Level;30.208334;United States of America;New York;USA
24;Senior Level;20.967741;United States of America;New York;USA
25;All Positions;25.581396;United States of America;Indiana;USA
25;Entry Level;26.31579;United States of America;Indiana;USA
25;Senior Level;26.086956;United States of America;Indiana;USA
26;All Positions;20.370371;United States of America;Massachusetts;USA
26;Entry Level;32;United States of America;Massachusetts;USA
26;Senior Level;7.1428571;United States of America;Massachusetts;USA
27;All Positions;18.181818;United States of America;Connecticut;USA
27;Entry Level;25;United States of America;Connecticut;USA
27;Senior Level;17.073172;United States of America;Connecticut;USA
28;All Positions;19.852942;United States of America;Pennsylvania;USA
28;Entry Level;30.76923;United States of America;Pennsylvania;USA
