rank,level,female_ratio,country
1,All Positions,26.269316,United Kingdom of Great Britain and Northern Ireland
1,Entry Level,49.090908,United Kingdom of Great Britain and Northern Ireland
1,Senior Level,20.967741,United Kingdom of Great Britain and Northern Ireland
2,All Positions,29.032259,United States of America
2,Entry Level,27.777779,United States of America
2,Senior Level,9.4339619,United States of America
3,All Positions,24.170616,United States of America
3,Entry Level,40,United States of America
3,Senior Level,15.217391,United States of America
4,All Positions,16,United States of America
4,Entry Level,37.5,United States of America
4,Senior Level,11.904762,United States of America
5,All Positions,34.343433,France
5,Senior Level,29.411764,France
6,All Positions,14.035088,United States of America
6,Entry Level,7.1428571,United States of America
6,Senior Level,10,United States of America
7,All Positions,32.342659,Italy
7,Entry Level,39.830509,Italy
7,Senior Level,27.243589,Italy
8,All Positions,19.827587,United States of America
8,Entry Level,26.4,United States of America
8,Senior Level,11.428572,United States of America
9,All Positions,23.809525,United States of America
9,Entry Level,36,United States of America
9,Senior Level,16.216217,United States of America
10,All Positions,14.925373,United States of America
10,Entry Level,23.076923,United States of America
10,Senior Level,15.625,United States of America
11,All Positions,26.143791,Spain
11,Senior Level,14.814815,Spain
12,All Positions,19.827587,United States of America
12,Entry Level,16.666666,United States of America
12,Senior Level,20.833334,United States of America
13,All Positions,24.137932,United Kingdom of Great Britain and Northern Ireland
13,Entry Level,27.272728,United Kingdom of Great Britain and Northern Ireland
13,Senior Level,18.666666,United Kingdom of Great Britain and Northern Ireland
14,All Positions,31.052631,Switzerland
14,Entry Level,33.333332,Switzerland
14,Senior Level,16.216217,Switzerland
15,All Positions,27.848101,France
15,Entry Level,34.090908,France
15,Senior Level,20.338984,France
16,All Positions,29.464285,United Kingdom of Great Britain and Northern Ireland
16,Entry Level,50,United Kingdom of Great Britain and Northern Ireland
16,Senior Level,18.181818,United Kingdom of Great Britain and Northern Ireland
17,All Positions,26.041666,France
17,Entry Level,54.545456,France
17,Senior Level,10.526316,France
18,All Positions,18.965517,United States of America
18,Entry Level,45.454544,United States of America
18,Senior Level,11.111111,United States of America
19,All Positions,21.73913,United States of America
19,Entry Level,28.387096,United States of America
19,Senior Level,16.363636,United States of America
20,All Positions,36.700336,Australia
20,Entry Level,44.848484,Australia
20,Senior Level,28.971962,Australia
21,All Positions,11.538462,United States of America
21,Entry Level,31.25,United States of America
21,Senior Level,8,United States of America
22,All Positions,15.789474,United States of America
22,Entry Level,15.384615,United States of America
22,Senior Level,15.909091,United States of America
23,All Positions,35.294117,United States of America
23,Entry Level,33.333332,United States of America
23,Senior Level,28,United States of America
24,All Positions,22.511848,United States of America
24,Entry Level,30.208334,United States of America
24,Senior Level,20.967741,United States of America
25,All Positions,25.581396,United States of America
25,Entry Level,26.31579,United States of America
25,Senior Level,26.086956,United States of America
26,All Positions,20.370371,United States of America
26,Entry Level,32,United States of America
26,Senior Level,7.1428571,United States of America
27,All Positions,18.181818,United States of America
27,Entry Level,25,United States of America
27,Senior Level,17.073172,United States of America
28,All Positions,19.852942,United States of America
28,Entry Level,30.76923,United States of America
28,Senior Level,13.043478,United States of America
29,All Positions,18.367348,United States of America
29,Entry Level,21.428572,United States of America
29,Senior Level,16.129032,United States of America
30,All Positions,21.377672,United States of America
30,Entry Level,32.5,United States of America
30,Senior Level,17.050692,United States of America
31,All Positions,21.751413,United States of America
31,Entry Level,22.916666,United States of America
31,Senior Level,23.809525,United States of America
32,All Positions,16,United States of America
32,Entry Level,36.363636,United States of America
32,Senior Level,10.526316,United States of America
33,All Positions,42,Belgium
33,Senior Level,29.032259,Belgium
34,All Positions,24.100719,United States of America
34,Entry Level,26.446281,United States of America
34,Senior Level,24.166666,United States of America
35,All Positions,26.244345,United States of America
35,Entry Level,22.222221,United States of America
35,Senior Level,18.518518,United States of America
36,All Positions,24.528301,United States of America
36,Entry Level,35,United States of America
36,Senior Level,27.272728,United States of America
37,All Positions,26.623377,United States of America
37,Entry Level,32.380951,United States of America
37,Senior Level,24.683544,United States of America
38,All Positions,33.557049,Belgium
38,Entry Level,44.117645,Belgium
38,Senior Level,35.632183,Belgium
39,All Positions,31.578947,United States of America
39,Entry Level,50,United States of America
39,Senior Level,20.833334,United States of America
40,All Positions,15.873015,United States of America
40,Entry Level,16.666666,United States of America
40,Senior Level,7.6923075,United States of America
41,All Positions,23.529411,Netherlands
41,Entry Level,30.405405,Netherlands
41,Senior Level,13.076923,Netherlands
42,All Positions,33.438484,Australia
42,Entry Level,45.599998,Australia
42,Senior Level,25.362318,Australia
43,All Positions,24.626865,United Kingdom of Great Britain and Northern Ireland
43,Entry Level,25.925926,United Kingdom of Great Britain and Northern Ireland
43,Senior Level,19.642857,United Kingdom of Great Britain and Northern Ireland
44,All Positions,14.049587,Canada
44,Entry Level,18.518518,Canada
44,Senior Level,17.1875,Canada
